trial_id,seed,controller,planner,contact,perception,offset_mm,spiral_radius_mm,noise_sigma_mm,success,failure_reason,insertion_time,peak_force,mean_force,jamming_count,retry_count,final_pose_error,compute_time,preinsert_pose_error,path_length,smoothness,max_joint_vel,max_joint_accel,solve_time,initial_contact_force,pose_estimation_error,effective_offset
530,20,impedance,waypoint,spiral,gt-noise,6.0,6.0,2.0,1,,13.178,42.3131,11.3584,6,6,0.004461,2.7906,0.00482,0.31368,11.157,1.1866,311.7497,0.0,1.7738,0.007863,0.007863
531,21,impedance,waypoint,spiral,gt-noise,6.0,6.0,2.0,1,,13.094,61.3894,10.0452,6,6,0.004993,4.7415,0.004228,0.314914,11.1635,1.193,303.5706,0.0,1.7267,0.007861,0.007861
532,22,impedance,waypoint,spiral,gt-noise,6.0,6.0,2.0,1,,10.246,26.3594,2.4582,0,0,0.002278,4.2557,0.004091,0.31351,11.4483,1.1917,308.6513,0.0,1.6679,0.005285,0.005285
533,23,impedance,waypoint,spiral,gt-noise,6.0,6.0,2.0,1,,13.736,41.9829,11.3263,7,7,0.004372,4.6487,0.004642,0.315073,11.2018,1.1893,305.9468,0.0,1.7391,0.007753,0.007753
534,24,impedance,waypoint,spiral,gt-noise,6.0,6.0,2.0,1,,10.268,30.2769,19.555,0,0,0.003545,3.7301,0.004254,0.312065,11.193,1.1946,314.4675,0.0,0.0,0.00416,0.00416
535,25,impedance,waypoint,spiral,gt-noise,6.0,6.0,2.0,0,force_abort_max_recovery,8.192,47.8217,22.032,11,10,0.010958,0.9704,0.004067,0.315011,11.2091,1.1887,304.9156,0.0,1.6301,0.009903,0.009903
536,26,impedance,waypoint,spiral,gt-noise,6.0,6.0,2.0,1,,13.16,40.9157,11.1505,6,6,0.004354,4.1857,0.004649,0.313743,11.2407,1.1893,307.1985,0.0,1.5316,0.007873,0.007873
537,27,impedance,waypoint,spiral,gt-noise,6.0,6.0,2.0,0,force_abort_max_recovery,14.678,40.7349,20.2248,11,10,0.004981,1.5138,0.004357,0.313392,11.326,1.1906,325.9003,0.0,1.6173,0.004295,0.004295
538,28,impedance,waypoint,spiral,gt-noise,6.0,6.0,2.0,1,,10.324,33.0535,6.3505,0,0,0.004529,3.2429,0.004692,0.315059,11.2131,1.1912,307.281,0.0,2.0887,0.005497,0.005497
539,29,impedance,waypoint,spiral,gt-noise,6.0,6.0,2.0,0,jam_max_recovery,14.616,40.5289,9.2031,11,10,0.005994,1.6933,0.004421,0.313368,11.1694,1.1897,310.2482,0.0,1.5193,0.005041,0.005041
