trial_id,seed,controller,planner,contact,perception,offset_mm,spiral_radius_mm,success,failure_reason,insertion_time,peak_force,mean_force,jamming_count,retry_count,final_pose_error,compute_time,preinsert_pose_error,path_length,smoothness,max_joint_vel,max_joint_accel,solve_time,initial_contact_force
84,24,impedance,waypoint,none,gt,6.0,,1,,10.142,28.0699,5.5596,0,0,0.002581,1.1877,0.004455,0.313602,11.2874,1.254,326.8837,0.0,1.6007
85,25,impedance,waypoint,none,gt,6.0,,1,,10.184,39.1974,11.8587,0,0,0.002179,1.2187,0.004857,0.313885,11.3736,1.1911,299.7904,0.0,1.5995
86,26,impedance,waypoint,none,gt,6.0,,1,,10.134,35.8243,5.8451,0,0,0.004118,1.1417,0.00494,0.313694,11.2041,1.2557,308.951,0.0,1.6536
87,27,impedance,waypoint,none,gt,6.0,,1,,10.076,34.098,5.7645,0,0,0.000822,1.1409,0.004557,0.313709,11.2903,1.3071,332.0402,0.0,1.882
88,28,impedance,waypoint,none,gt,6.0,,1,,10.032,36.6452,8.0514,0,0,0.002844,1.1811,0.004609,0.313571,11.116,1.3069,316.3686,0.0,1.5217
89,29,impedance,waypoint,none,gt,6.0,,1,,10.182,34.8496,5.1224,0,0,0.002068,1.1714,0.004551,0.313564,11.1384,1.1922,303.0416,0.0,1.5437
90,0,impedance,ee-ocp,none,gt,0.0,,1,,12.522,28.3607,14.4106,0,0,0.000469,1.4569,0.004899,0.318364,4.1116,1.012,297.9735,152.4591,0.0
91,1,impedance,ee-ocp,none,gt,0.0,,1,,12.666,45.0501,22.3738,0,0,0.000408,1.3367,0.004951,0.318402,4.075,1.0979,295.8425,26.6019,0.0
92,2,impedance,ee-ocp,none,gt,0.0,,1,,12.586,37.1179,23.2355,0,0,0.000336,1.3093,0.004756,0.318354,3.9429,0.9778,277.1273,26.7287,0.0
93,3,impedance,ee-ocp,none,gt,0.0,,1,,12.608,38.9918,23.064,0,0,0.000263,1.3679,0.004918,0.318438,3.9986,1.0175,289.6768,26.0656,0.0
94,4,impedance,ee-ocp,none,gt,0.0,,1,,12.518,30.4173,16.4441,0,0,0.000701,1.3495,0.004931,0.318558,4.0138,1.1041,290.7795,26.0543,0.0
95,5,impedance,ee-ocp,none,gt,0.0,,1,,12.556,39.5553,21.8456,0,0,0.000232,1.3475,0.004939,0.3189,4.1001,0.9937,304.1338,25.6959,0.0
96,6,impedance,ee-ocp,none,gt,0.0,,1,,12.588,37.3622,19.4499,0,0,0.000646,1.3206,0.004749,0.318512,3.9563,1.0969,273.9607,26.282,0.0
97,7,impedance,ee-ocp,none,gt,0.0,,1,,12.54,26.6733,13.8346,0,0,0.000672,1.3352,0.004973,0.318616,3.9571,1.0135,289.9536,25.8213,0.0
98,8,impedance,ee-ocp,none,gt,0.0,,1,,12.504,29.1746,13.5062,0,0,0.000626,1.3304,0.004932,0.319219,4.1558,1.0348,284.7794,26.5115,0.0
99,9,impedance,ee-ocp,none,gt,0.0,,1,,12.538,29.398,15.9317,0,0,0.000518,1.3707,0.004915,0.318508,3.949,0.9534,273.7577,26.2858,0.0
100,10,impedance,ee-ocp,none,gt,0.0,,1,,12.58,31.0549,16.3214,0,0,0.000806,1.3489,0.004848,0.318651,3.9756,1.1057,278.5137,26.6764,0.0
101,11,impedance,ee-ocp,none,gt,0.0,,1,,12.504,37.8928,17.8626,0,0,0.000371,1.4003,0.004772,0.318734,3.8973,1.1068,284.0371,26.8448,0.0
102,12,impedance,ee-ocp,none,gt,0.0,,1,,12.522,26.8512,17.2592,0,0,0.000813,1.3164,0.00487,0.318483,4.0243,1.0159,289.8854,25.4877,0.0
103,13,impedance,ee-ocp,none,gt,0.0,,1,,12.616,38.888,21.5081,0,0,0.000544,1.3808,0.004749,0.318219,4.086,0.9808,278.2157,26.6636,0.0
104,14,impedance,ee-ocp,none,gt,0.0,,1,,12.616,33.3637,21.1629,0,0,0.000511,1.3349,0.004729,0.319165,4.0841,1.02,275.8343,25.8608,0.0
105,15,impedance,ee-ocp,none,gt,0.0,,1,,12.556,29.4527,14.7575,0,0,0.000949,1.3821,0.004773,0.318134,4.1193,1.0991,271.5233,25.7989,0.0
106,16,impedance,ee-ocp,none,gt,0.0,,1,,12.598,43.0256,20.3092,0,0,0.000211,1.3986,0.00464,0.319075,4.053,1.0107,298.1008,26.975,0.0
107,17,impedance,ee-ocp,none,gt,0.0,,1,,12.556,27.3162,15.2733,0,0,0.001231,1.3985,0.004725,0.3186,4.0819,1.0142,295.7043,27.0819,0.0
108,18,impedance,ee-ocp,none,gt,0.0,,1,,12.546,28.5578,15.2364,0,0,0.000282,1.3461,0.004913,0.318,4.073,0.9745,274.847,25.569,0.0
109,19,impedance,ee-ocp,none,gt,0.0,,1,,12.64,29.7765,20.2282,0,0,0.000661,1.3325,0.004765,0.318873,4.0342,1.0083,292.7047,26.7077,0.0
110,20,impedance,ee-ocp,none,gt,0.0,,1,,12.62,36.3554,21.7069,0,0,0.000289,1.3434,0.004824,0.319007,4.1634,1.0678,287.9732,25.7227,0.0
111,21,impedance,ee-ocp,none,gt,0.0,,1,,12.58,39.3571,16.7779,0,0,0.000534,1.3394,0.004847,0.318828,3.9999,1.0382,256.7682,26.1325,0.0
112,22,impedance,ee-ocp,none,gt,0.0,,1,,12.48,34.5462,17.8207,0,0,0.000374,1.3872,0.004944,0.318095,3.985,1.0214,281.489,26.6521,1.5123
113,23,impedance,ee-ocp,none,gt,0.0,,1,,12.54,30.4388,16.6784,0,0,0.000638,1.3739,0.004922,0.31895,3.8998,1.0067,271.0561,26.2216,0.0
114,24,impedance,ee-ocp,none,gt,0.0,,1,,12.576,32.2644,20.3805,0,0,0.000477,1.3844,0.004671,0.318227,4.0122,0.9808,291.3339,27.798,0.0
115,25,impedance,ee-ocp,none,gt,0.0,,1,,12.632,34.6285,16.2783,0,0,0.000349,1.3838,0.004881,0.318957,4.0708,1.104,263.263,26.6381,0.0
116,26,impedance,ee-ocp,none,gt,0.0,,1,,12.586,27.9548,14.0364,0,0,0.000732,1.3807,0.004696,0.318712,3.9651,0.9807,275.1769,26.218,0.0
117,27,impedance,ee-ocp,none,gt,0.0,,1,,12.532,30.0309,15.7785,0,0,0.000846,1.3166,0.004859,0.318426,4.0473,1.012,299.4929,26.0194,0.0
118,28,impedance,ee-ocp,none,gt,0.0,,1,,12.478,30.8013,14.5332,0,0,0.000541,1.3291,0.00493,0.318229,3.8928,1.0149,284.6179,25.9523,0.0
119,29,impedance,ee-ocp,none,gt,0.0,,1,,12.644,32.4756,17.1498,0,0,0.000816,1.3503,0.004852,0.318274,3.9436,1.105,271.1217,26.0991,0.0
120,0,impedance,ee-ocp,none,gt,3.0,,1,,12.522,29.9312,13.9887,0,0,0.002821,1.3925,0.004908,0.319331,4.1181,1.0124,296.122,26.4139,0.0
121,1,impedance,ee-ocp,none,gt,3.0,,1,,12.666,43.2458,22.2639,0,0,0.00261,1.3503,0.00496,0.319362,4.0815,1.0985,294.0009,25.8943,0.0
122,2,impedance,ee-ocp,none,gt,3.0,,1,,12.586,38.6449,23.2591,0,0,0.002753,1.3513,0.004765,0.319317,3.9461,0.9791,275.2774,26.4017,0.0
123,3,impedance,ee-ocp,none,gt,3.0,,1,,12.608,40.7607,22.7537,0,0,0.00279,1.3991,0.004928,0.319401,4.006,1.0179,287.8187,26.3642,0.0
124,4,impedance,ee-ocp,none,gt,3.0,,1,,12.518,27.0032,15.9237,0,0,0.002867,1.3941,0.004941,0.319524,4.0212,1.1047,288.9243,25.5493,0.0
125,5,impedance,ee-ocp,none,gt,3.0,,1,,12.556,39.5566,22.4117,0,0,0.002825,1.3947,0.004948,0.319868,4.1066,0.9937,302.3342,26.8659,0.0
126,6,impedance,ee-ocp,none,gt,3.0,,1,,12.588,37.359,19.4769,0,0,0.002574,1.3845,0.004758,0.319473,3.9608,1.0975,272.1296,26.7429,0.0
127,7,impedance,ee-ocp,none,gt,3.0,,1,,12.54,25.566,14.0809,0,0,0.002735,1.3468,0.004983,0.319581,3.9615,1.014,288.114,25.0377,0.0
128,8,impedance,ee-ocp,none,gt,3.0,,1,,12.506,25.4531,12.4897,0,0,0.002868,1.3526,0.004942,0.320184,4.1579,1.0348,282.941,25.9493,0.0
