trial_id,seed,controller,planner,contact,perception,offset_mm,spiral_radius_mm,success,failure_reason,insertion_time,peak_force,mean_force,jamming_count,retry_count,final_pose_error,compute_time
110,0,osc-lambda,waypoint,spiral,gt,9.0,10.0,1,,11.556,45.7862,9.5047,3,3,0.004186,1.6541
111,1,osc-lambda,waypoint,spiral,gt,9.0,10.0,1,,11.79,40.5026,7.3006,3,3,0.003817,1.6096
112,2,osc-lambda,waypoint,spiral,gt,9.0,10.0,1,,11.66,50.3345,7.9528,3,3,0.003243,1.6092
113,3,osc-lambda,waypoint,spiral,gt,9.0,10.0,1,,11.696,45.4915,8.095,3,3,0.003387,1.6698
114,4,osc-lambda,waypoint,spiral,gt,9.0,10.0,1,,11.59,57.1934,8.3334,3,3,0.002247,1.6218
115,5,osc-lambda,waypoint,spiral,gt,9.0,10.0,1,,11.634,70.1664,12.5753,3,3,0.002504,1.6714
116,6,osc-lambda,waypoint,spiral,gt,9.0,10.0,1,,11.654,49.6105,7.6603,3,3,0.003877,1.6102
117,7,osc-lambda,waypoint,spiral,gt,9.0,10.0,1,,11.646,41.1586,7.7082,3,3,0.003665,1.6322
118,8,osc-lambda,waypoint,spiral,gt,9.0,10.0,1,,11.554,54.9383,8.7155,3,3,0.002248,1.658
119,9,osc-lambda,waypoint,spiral,gt,9.0,10.0,1,,11.626,68.3218,8.0488,3,3,0.002714,1.6675
120,0,osc-lambda,waypoint,spiral,gt,11.0,4.0,0,force_abort_max_recovery,9.408,42.1341,19.9258,11,10,0.01174,1.4131
121,1,osc-lambda,waypoint,spiral,gt,11.0,4.0,0,force_abort_max_recovery,9.696,42.6607,20.5444,11,10,0.011454,1.4284
122,2,osc-lambda,waypoint,spiral,gt,11.0,4.0,0,force_abort_max_recovery,9.526,42.6275,21.3976,11,10,0.011569,1.4448
123,3,osc-lambda,waypoint,spiral,gt,11.0,4.0,0,force_abort_max_recovery,9.632,41.3841,21.2577,11,10,0.011605,1.4741
124,4,osc-lambda,waypoint,spiral,gt,11.0,4.0,0,force_abort_max_recovery,9.252,44.1993,21.4895,11,10,0.011611,1.377
125,5,osc-lambda,waypoint,spiral,gt,11.0,4.0,0,force_abort_max_recovery,9.594,41.5305,21.4255,11,10,0.011748,1.5041
126,6,osc-lambda,waypoint,spiral,gt,11.0,4.0,0,force_abort_max_recovery,9.51,45.4616,20.3496,11,10,0.011505,1.4326
127,7,osc-lambda,waypoint,spiral,gt,11.0,4.0,0,force_abort_max_recovery,9.516,42.8455,20.6017,11,10,0.011559,1.4763
128,8,osc-lambda,waypoint,spiral,gt,11.0,4.0,0,force_abort_max_recovery,9.024,44.3014,21.1259,11,10,0.011827,1.3173
129,9,osc-lambda,waypoint,spiral,gt,11.0,4.0,0,force_abort_max_recovery,9.544,41.2364,20.5049,11,10,0.011536,1.4224
130,0,osc-lambda,waypoint,spiral,gt,11.0,6.0,0,force_abort_max_recovery,9.36,58.2593,20.4133,11,10,0.01205,1.4014
131,1,osc-lambda,waypoint,spiral,gt,11.0,6.0,0,force_abort_max_recovery,9.39,45.8469,20.314,11,10,0.011848,1.4074
132,2,osc-lambda,waypoint,spiral,gt,11.0,6.0,0,force_abort_max_recovery,9.452,45.7821,21.9762,11,10,0.011926,1.4264
133,3,osc-lambda,waypoint,spiral,gt,11.0,6.0,0,force_abort_max_recovery,9.498,44.0948,22.6116,11,10,0.011944,1.435
134,4,osc-lambda,waypoint,spiral,gt,11.0,6.0,0,force_abort_max_recovery,9.436,46.9344,21.5496,11,10,0.012012,1.4378
135,5,osc-lambda,waypoint,spiral,gt,11.0,6.0,0,force_abort_max_recovery,9.494,69.8257,21.7785,11,10,0.012134,1.3974
136,6,osc-lambda,waypoint,spiral,gt,11.0,6.0,0,force_abort_max_recovery,9.304,54.658,22.4548,11,10,0.011845,1.3826
137,7,osc-lambda,waypoint,spiral,gt,11.0,6.0,0,force_abort_max_recovery,9.532,41.0915,21.376,11,10,0.011936,1.4522
138,8,osc-lambda,waypoint,spiral,gt,11.0,6.0,0,force_abort_max_recovery,9.108,74.6529,22.4082,11,10,0.012224,1.3379
139,9,osc-lambda,waypoint,spiral,gt,11.0,6.0,0,force_abort_max_recovery,9.526,41.1186,20.7044,11,10,0.011909,1.4006
140,0,osc-lambda,waypoint,spiral,gt,11.0,8.0,0,jam_max_recovery,9.236,43.6879,19.8435,11,10,0.012199,1.3936
141,1,osc-lambda,waypoint,spiral,gt,11.0,8.0,0,force_abort_max_recovery,9.538,53.4694,21.0153,11,10,0.012284,1.4306
142,2,osc-lambda,waypoint,spiral,gt,11.0,8.0,0,jam_max_recovery,9.254,44.3905,20.8865,11,10,0.012068,1.3244
143,3,osc-lambda,waypoint,spiral,gt,11.0,8.0,0,force_abort_max_recovery,9.626,55.7897,22.2715,11,10,0.012403,1.4331
144,4,osc-lambda,waypoint,spiral,gt,11.0,8.0,0,force_abort_max_recovery,9.572,44.7112,21.3754,11,10,0.01247,1.4141
145,5,osc-lambda,waypoint,spiral,gt,11.0,8.0,0,force_abort_max_recovery,9.514,48.8173,22.0412,11,10,0.012585,1.4324
146,6,osc-lambda,waypoint,spiral,gt,11.0,8.0,0,force_abort_max_recovery,9.63,52.6202,20.7844,11,10,0.01237,1.4826
147,7,osc-lambda,waypoint,spiral,gt,11.0,8.0,0,force_abort_max_recovery,9.448,41.9082,20.3961,11,10,0.012401,1.4369
148,8,osc-lambda,waypoint,spiral,gt,11.0,8.0,0,force_abort_max_recovery,9.388,46.6106,21.5211,11,10,0.01267,1.4505
149,9,osc-lambda,waypoint,spiral,gt,11.0,8.0,0,force_abort_max_recovery,9.574,44.1309,21.3461,11,10,0.012319,1.4766
150,0,osc-lambda,waypoint,spiral,gt,11.0,10.0,0,force_abort_max_recovery,9.506,60.0867,21.1136,11,10,0.013151,1.4463
151,1,osc-lambda,waypoint,spiral,gt,11.0,10.0,0,force_abort_max_recovery,9.568,60.3631,20.507,11,10,0.012938,1.425
152,2,osc-lambda,waypoint,spiral,gt,11.0,10.0,0,force_abort_max_recovery,9.418,57.6037,21.6947,11,10,0.01306,1.3959
153,3,osc-lambda,waypoint,spiral,gt,11.0,10.0,0,jam_max_recovery,9.522,68.6831,21.3173,11,10,0.012688,1.4585
154,4,osc-lambda,waypoint,spiral,gt,11.0,10.0,1,,11.578,51.3779,13.6592,3,3,0.004238,1.5877
155,5,osc-lambda,waypoint,spiral,gt,11.0,10.0,0,jam_max_recovery,9.308,74.6148,21.3146,11,10,0.012914,1.4522
156,6,osc-lambda,waypoint,spiral,gt,11.0,10.0,0,force_abort_max_recovery,9.478,56.9583,21.4138,11,10,0.012974,1.4519
157,7,osc-lambda,waypoint,spiral,gt,11.0,10.0,0,force_abort_max_recovery,9.486,41.9109,20.8899,11,10,0.013043,1.4486
158,8,osc-lambda,waypoint,spiral,gt,11.0,10.0,0,force_abort_max_recovery,9.322,49.3776,21.0734,11,10,0.013355,1.4223
159,9,osc-lambda,waypoint,spiral,gt,11.0,10.0,0,force_abort_max_recovery,9.526,54.6698,21.1703,11,10,0.012956,1.5034
