trial_id,seed,controller,planner,contact,perception,offset_mm,success,failure_reason,insertion_time,peak_force,mean_force,jamming_count,retry_count,final_pose_error,compute_time
95,5,osc,waypoint,none,gt,3,1,,10.112,34.5226,18.4481,0,0,0.002843,1.2714
96,6,osc,waypoint,none,gt,3,1,,10.138,33.5016,20.1377,0,0,0.002618,1.3046
97,7,osc,waypoint,none,gt,3,1,,10.102,27.2536,15.5609,0,0,0.002684,1.3219
98,8,osc,waypoint,none,gt,3,1,,10.048,30.8859,14.0095,0,0,0.002826,1.257
99,9,osc,waypoint,none,gt,3,1,,10.1,27.5532,15.0794,0,0,0.002572,1.2533
100,0,osc,waypoint,none,gt,6,0,force_abort,4.474,40.0785,19.6806,1,0,0.006476,0.595
101,1,osc,waypoint,none,gt,6,1,,10.232,38.8225,6.1013,0,0,0.002132,1.4092
102,2,osc,waypoint,none,gt,6,1,,10.13,37.826,6.186,0,0,0.002719,1.4039
103,3,osc,waypoint,none,gt,6,0,force_abort,4.55,40.1116,20.7201,1,0,0.00635,0.6339
104,4,osc,waypoint,none,gt,6,1,,10.078,34.226,6.2748,0,0,0.002208,1.381
105,5,osc,waypoint,none,gt,6,1,,10.112,38.7858,11.5296,0,0,0.002621,1.4468
106,6,osc,waypoint,none,gt,6,1,,10.138,33.6795,5.656,0,0,0.002644,1.3786
107,7,osc,waypoint,none,gt,6,1,,10.086,36.7173,6.2567,0,0,0.00317,1.3817
108,8,osc,waypoint,none,gt,6,1,,10.048,30.8816,6.7202,0,0,0.000541,1.3839
109,9,osc,waypoint,none,gt,6,1,,10.1,28.4549,6.1059,0,0,0.002705,1.3845
110,0,osc,waypoint,none,gt,9,0,force_abort,4.49,40.5173,19.4098,1,0,0.009421,0.5916
111,1,osc,waypoint,none,gt,9,0,force_abort,4.596,40.0226,20.3718,1,0,0.009117,0.6134
112,2,osc,waypoint,none,gt,9,0,force_abort,4.602,43.1547,21.1171,1,0,0.009219,0.6044
113,3,osc,waypoint,none,gt,9,0,force_abort,4.554,40.0763,20.9138,1,0,0.009344,0.6015
114,4,osc,waypoint,none,gt,9,0,force_abort,4.502,40.4428,19.8975,1,0,0.009228,0.6051
115,5,osc,waypoint,none,gt,9,0,force_abort,4.598,40.1796,22.2385,1,0,0.009536,0.614
116,6,osc,waypoint,none,gt,9,0,force_abort,4.52,40.0929,18.7854,1,0,0.009101,0.6015
117,7,osc,waypoint,none,gt,9,0,force_abort,4.466,40.1094,20.9291,1,0,0.009217,0.5968
118,8,osc,waypoint,none,gt,9,0,force_abort,4.476,40.3025,21.1136,1,0,0.00947,0.6177
119,9,osc,waypoint,none,gt,9,0,force_abort,4.482,40.2142,20.2428,1,0,0.009217,0.5984
120,0,osc-lambda,waypoint,none,gt,0,1,,10.064,26.5022,15.1554,0,0,0.00048,1.3871
121,1,osc-lambda,waypoint,none,gt,0,1,,10.232,45.0831,20.302,0,0,0.000377,1.3723
122,2,osc-lambda,waypoint,none,gt,0,1,,10.13,34.7535,23.2123,0,0,0.000487,1.355
123,3,osc-lambda,waypoint,none,gt,0,1,,10.166,30.9586,21.7917,0,0,0.000305,1.4129
124,4,osc-lambda,waypoint,none,gt,0,1,,10.078,29.3764,16.5865,0,0,0.000841,1.3996
125,5,osc-lambda,waypoint,none,gt,0,1,,10.112,34.5872,18.4924,0,0,0.000191,1.4076
126,6,osc-lambda,waypoint,none,gt,0,1,,10.138,33.4713,20.052,0,0,0.000625,1.3873
127,7,osc-lambda,waypoint,none,gt,0,1,,10.086,30.1647,16.8881,0,0,0.000491,1.4025
128,8,osc-lambda,waypoint,none,gt,0,1,,10.048,30.4175,13.8977,0,0,0.000577,1.3736
129,9,osc-lambda,waypoint,none,gt,0,1,,10.1,27.5349,15.0931,0,0,0.00056,1.3527
130,0,osc-lambda,waypoint,none,gt,3,1,,10.076,32.9258,17.1435,0,0,0.002815,1.3679
131,1,osc-lambda,waypoint,none,gt,3,1,,10.232,45.0136,20.2956,0,0,0.002626,1.4104
132,2,osc-lambda,waypoint,none,gt,3,1,,10.13,34.0666,23.2209,0,0,0.002738,1.3473
133,3,osc-lambda,waypoint,none,gt,3,1,,10.166,31.7769,21.8001,0,0,0.002726,1.3822
134,4,osc-lambda,waypoint,none,gt,3,1,,10.078,29.3249,16.4479,0,0,0.00289,1.3323
135,5,osc-lambda,waypoint,none,gt,3,1,,10.112,34.5036,18.4376,0,0,0.00285,1.4304
136,6,osc-lambda,waypoint,none,gt,3,1,,10.138,33.4717,20.4911,0,0,0.002626,1.4195
137,7,osc-lambda,waypoint,none,gt,3,1,,10.102,29.3452,16.7083,0,0,0.002691,1.3608
138,8,osc-lambda,waypoint,none,gt,3,1,,10.048,30.3679,13.8752,0,0,0.002831,1.3715
139,9,osc-lambda,waypoint,none,gt,3,1,,10.1,27.4857,15.0717,0,0,0.002577,1.3762
140,0,osc-lambda,waypoint,none,gt,6,0,force_abort,4.474,40.0421,19.9583,1,0,0.006475,0.6423
141,1,osc-lambda,waypoint,none,gt,6,1,,10.232,38.805,6.1172,0,0,0.002136,1.5205
142,2,osc-lambda,waypoint,none,gt,6,1,,10.13,37.7164,6.1967,0,0,0.0025,1.4793
143,3,osc-lambda,waypoint,none,gt,6,0,force_abort,4.55,40.0812,20.8302,1,0,0.006345,0.6537
144,4,osc-lambda,waypoint,none,gt,6,1,,10.078,34.2103,6.2888,0,0,0.002207,1.4637
145,5,osc-lambda,waypoint,none,gt,6,0,force_abort,4.528,40.2595,18.8128,1,0,0.006442,0.6374
146,6,osc-lambda,waypoint,none,gt,6,1,,10.138,33.6668,5.6643,0,0,0.002652,1.4908
147,7,osc-lambda,waypoint,none,gt,6,1,,10.102,37.4726,6.2965,0,0,0.003247,1.5156
148,8,osc-lambda,waypoint,none,gt,6,1,,10.048,30.8448,6.7389,0,0,0.000556,1.5381
149,9,osc-lambda,waypoint,none,gt,6,1,,10.1,28.4188,6.0569,0,0,0.00271,1.5334
150,0,osc-lambda,waypoint,none,gt,9,0,force_abort,4.488,40.9619,19.3776,1,0,0.009422,0.6361
151,1,osc-lambda,waypoint,none,gt,9,0,force_abort,4.596,40.0098,20.3702,1,0,0.009126,0.6443
152,2,osc-lambda,waypoint,none,gt,9,0,force_abort,4.602,43.1412,21.0287,1,0,0.009219,0.6388
153,3,osc-lambda,waypoint,none,gt,9,0,force_abort,4.554,40.0447,20.9315,1,0,0.009345,0.6527
154,4,osc-lambda,waypoint,none,gt,9,0,force_abort,4.506,40.9555,20.1007,1,0,0.009245,0.6271
155,5,osc-lambda,waypoint,none,gt,9,0,force_abort,4.598,40.1557,22.3475,1,0,0.009537,0.6686
156,6,osc-lambda,waypoint,none,gt,9,0,force_abort,4.528,40.5845,19.0076,1,0,0.009098,0.6382
157,7,osc-lambda,waypoint,none,gt,9,0,force_abort,4.466,40.0911,20.84,1,0,0.00922,0.6315
158,8,osc-lambda,waypoint,none,gt,9,0,force_abort,4.484,40.0776,21.3473,1,0,0.009485,0.6601
159,9,osc-lambda,waypoint,none,gt,9,0,force_abort,4.482,40.1802,20.2624,1,0,0.009218,0.6548
